Red Agrometeorológica de INIA,,agromet.inia.cl,,,
Estación,Azapa Medio,,,,
Habilitada el,21-03-2011,,,,
Generado,06-08-2018 11:37:25,,,,
,,,,,
#,FECHA/HORA,Temperatura del Aire (°C),Humedad Relativa (%),Velocidad del Viento (Km/h),Radiación Solar (W/m2)
440,19-01-2017 07:00,20,"73,5",0,"96,2"
441,19-01-2017 08:00,"23,7",59,"0,4","290,8"
442,19-01-2017 09:00,"25,7","52,4","4,3","468,2"
443,19-01-2017 10:00,"27,8","44,9","4,7","591,1"
444,19-01-2017 11:00,"29,4","40,7","5,8","802,3"
445,19-01-2017 12:00,"29,8","39,2","6,8","699,7"
446,19-01-2017 13:00,"30,5",37,"7,6",908
447,19-01-2017 14:00,"31,3",35,"7,6",892
448,19-01-2017 15:00,"30,1","39,3","7,9","512,7"
449,19-01-2017 16:00,"28,5","41,9","7,9","428,6"
450,19-01-2017 17:00,"29,2",40,"6,1","390,7"
451,19-01-2017 18:00,"27,3","44,8","7,2","151,4"
452,19-01-2017 19:00,"24,5","52,8","5,4",12
453,19-01-2017 20:00,"23,5","54,4","1,8",0
454,19-01-2017 21:00,23,"57,7","0,7",0
455,19-01-2017 22:00,"21,8","63,5","0,7",0
456,19-01-2017 23:00,21,"67,7",0,0
457,20-01-2017 00:00,"20,8","69,8",0,0
458,20-01-2017 01:00,"21,1","68,7",0,0
459,20-01-2017 02:00,"20,6","70,6",0,0
460,20-01-2017 03:00,"20,1",75,0,0
461,20-01-2017 04:00,"19,7","78,1",0,0
462,20-01-2017 05:00,"19,9","78,1","0,4",0
463,20-01-2017 06:00,"19,8","78,3",0,"3,9"
